# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   28.67867868    0.01131101
   28.71871872    0.01131301
   28.75875876    0.01131965
   28.79879880    0.01133136
   28.83883884    0.01134867
   28.87887888    0.01137225
   28.91891892    0.01140291
   28.95895896    0.01144157
   28.99899900    0.01148929
   29.03903904    0.01154716
   29.07907908    0.01161636
   29.11911912    0.01169807
   29.15915916    0.01179346
   29.19919920    0.01190372
   29.23923924    0.01202997
   29.27927928    0.01217331
   29.31931932    0.01233480
   29.35935936    0.01251545
   29.39939940    0.01271624
   29.43943944    0.01293810
   29.47947948    0.01318189
   29.51951952    0.01344844
   29.55955956    0.01373850
   29.59959960    0.01405274
   29.63963964    0.01439173
   29.67967968    0.01475591
   29.71971972    0.01514559
   29.75975976    0.01556091
   29.79979980    0.01600180
   29.83983984    0.01646797
   29.87987988    0.01695887
   29.91991992    0.01747371
   29.95995996    0.01801138
   30.00000000    0.01857051
